Major,Total Units Required
Ancient Studies,175
Anthropology,175
Art History,175
Biochemistry,175
Biology,175
Chemistry,175
Child Studies,175
Classical Studies,175
Communication,175
Computer Science,193
Economics,175
Engineering Physics,193
English,175
Environmental Studies and Sciences,175
Ethnic Studies,175
Gender and Sexuality Studies,175
Greek Language and Literature,175
History,175
Individual Studies,175
Latin and Greek,175
Latin Language and Literature,175
Mathematics,175
Military Science,175
Modern Languages and Literatures,175
Arabic,175
Chinese,175
French,175
German,175
Italian,175
Japanese,175
Spanish,175
Music,175
Neuroscience,175
Philosophy,175
Physics,175
Political Science,175
Psychology,175
Public Health Science,175
Religious Studies,175
Sociology,175
Studio Art,175
Theatre and Dance,175
Bioengineering,193
Computer Science and Engineering,193
Electrical Engineering,193
Electrical and Computer Engineering,193
General Engineering,193
Mechanical Engineering,193
Web Design and Engineering,175
Accounting,175
Accounting & Information Systems,175
Finance,175
Management & Entrepreneurship,175
Management Information Systems,175
Marketing,175